title,genre,description,director,cast
Neerali,"Action, Adventure, Drama","Sunny meets with an accident. As his life hangs in the balance on the edge of a cliff in the middle of nowhere, he must not only contend with the great adversity he is in, but the adversaries lurking in the shadows as well.",Ajoy Varma,"['Mohanlal', 'Suraj Venjaramoodu', 'Parvati Nair', 'Nadia Moidu']"
Kuttanpillayude Sivarathri,"Comedy, Drama, Mystery","Kuttan Pillai lives with his wife in a rural village and has an obsession with the jack fruit tree in his yard. During the Shivaratri festival, something strange happens that forms the main story.",Jean Markose,"['Suraj Venjaramoodu', 'Remya Suresh', 'Dain Davis', 'Chinnu Kuruvila']"
My Story,"Drama, Musical, Romance","Jay and Tara, fall in love on the sets of their film. However, Tara is set to marry David. Twenty years later, Jay is a big movie star but is still in love with Tara and decides to travel to Lisbon in search of her.",Roshni Dinaker,"['Prithviraj Sukumaran', 'Parvathy Thiruvothu', 'Ganesh Venkatraman', 'Manoj K. Jayan']"
Padmini,"Biography, Drama, Family","'Padmini' is a biopic on the life and times of T.K. Padmini, touted as a prospect of Indian art in the 1960s.",Susmesh Chandroth,"['Irshad', 'Shaju K.S.', 'Anumol K. Manoharan', 'Priyanandanan']"
Thattum Purath Achuthan,"Comedy, Drama, Musical","Achuthan lives in a village full of fun loving and vibrant people. One fine day he receives a letter addressed to Lord Krishna, which changes his life forever. The letter leads him into the world of Jayalakshmi and into her attic as well.",Lal Jose,"['Kunchacko Boban', 'Vijayaraghavan', 'Binu Adimali', 'Johny Antony']"
Naam,Comedy,A group of six guys and three girls who meet in college become thick friends and eventually take their friendship beyond the classroom and the campus. All goes well for the group until they are faced with sudden crisis.,Joshy Thomas Pallickal,"['Tovino Thomas', 'Renji Panicker', 'Saiju Kurup', 'Hakkim Shah']"
Drama,"Comedy, Drama","Set in UK, Drama follows the hilarious yet enthralling journey of a funeral director, who sets out to fulfill the final wish of one of his clients.",Ranjith,"['Mohanlal', 'Kaniha', 'Arundathi Nag', 'Asha Sharath']"
Abrahaminte Santhathikal,"Action, Crime, Thriller","Derick Abraham, a fiery and dutiful police officer, continues to be the best officer until his brother Philip Abraham gets arrested for false murder charges. Will he be able to investigate the case and serve justice to his brother?",Shaji Padoor,"['Mammootty', 'Sudev Nair', 'Siddique', 'Yog Japee']"
Mandharam,"Drama, Romance","It is a tale of romance in the life of Rajesh, who journeys through various stages of life filled with warmth and contentment from his relationships with the people around him.",Vijesh Vijay,"['Asif Ali', 'Arjun Ashokan', 'Varsha Bollamma', 'Anarkali Marikar']"
Chanakyatanthram,"Crime, Mystery, Thriller","A fresh-out-of-college criminologist, finds himself pit against an evil mastermind, whom he can only outdo by using his wits and courage.",Kannan Thamarakkulam,"['Unni Mukundan', 'Anoop Menon', 'Shruti Ramachandran', 'Shivada Nair']"
Aaranu Njan..?,Fantasy,Add a Plot,P.R. Unnikrishnan,"['Johnson George', 'Muhammed Nilambur']"
Abhiyude Katha Anuvinteyum,"Drama, Romance","They fell in love and swore to always be together, until a strange twist of fate reveals them to be more than just lovers. To what extent will they go to protect their love?",B.R. Vijayalakshmi,"['Tovino Thomas', 'Piaa Bajpai', 'Maria Juliana', 'Kalairani']"
Panchavarnathatha,Comedy,The story of a bird charmer as he goes on to influence the lives of people while witnessing a change in his own.,Ramesh Pisharody,"['Jayaram', 'Kunchacko Boban', 'Anusree', 'Salim Kumar']"
Queen,"Comedy, Crime, Mystery","The story starts with the inauguration of the first-ever Mechanical batch in an engineering campus consists of boys only. Later in the second year of the department, a girl joins and becomes the only girl to be a part of their batch.",Dijo Jose Antony,"['Dhruvan', 'Saniya Iyappan', 'Eldho Mathew', 'Aswin Jose']"
Koodasha,"Action, Crime, Drama",Kallookaran Joy is a single father who has left his gangster life behind to lead a peaceful life with his daughter. Things take an unexpected turn when his past comes knocking back to him.,Dinu Thomas Eelan,"['Baburaj', 'Orma Bose', 'Devan', 'Nithin George']"
Vikadakumaran,"Comedy, Thriller","Binu Sebastian, a small-time advocate, makes his living by taking up petty cases and leads a simple life. His life takes a drastic turn when he stumbles upon a sensational case and decides to take it up.",Boban Samuel,"['Vishnu Unnikrishnan', 'Dharmajan Bolgatty', 'Manasa Radhakrishnan', 'Indrans']"
Kaattu Vithachavar,"Drama, Thriller","Movie is a political thriller based on the atrocities committed by the state of Kerala during the 21 months National Emergency, from 1975 to 1977.",Satheesh Paul,"['Prakash Bare', 'Tini Tom', 'Jayaprakash Kuloor', 'Babu Annur']"
Kinavally,"Comedy, Horror, Mystery","Vivek is celebrating his wedding anniversary with his wife Ann, who decides to invite four of his friends to surprise her husband. But, their celebrations are short-lived as they start experiencing paranormal activities around them.",Sugeeth,"['Ajmal Zain', 'Surabhi Santhosh', 'Vijay Johny', 'Krrish Menon']"
Parole,Drama,"Alex is a comrade and an active communist leader. Due to some unfortunate events, Alex gets arrested and is imprisoned but is compelled to come out on Parole to solve a mystery he left behind.",Sharrath Sandith,"['Mammootty', 'Siddique', 'Suraj Venjaramoodu', 'Iniya']"
Aami,"Biography, Drama",The biopic on iconic Kerala writer Kamala Das alias Kamala Surayya alias Madhavikutty.,Kamal,"['Manju Warrier', 'Murali Gopy', 'Tovino Thomas', 'Anoop Menon']"
Iblis,"Comedy, Fantasy, Romance",The love of half-witted Vyshakh for the beautiful Fida and how it takes him places that are beyond reality.,Rohith V.S.,"['Lal', 'Asif Ali', 'Madonna Sebastian', 'Aju Varghese']"
French Viplavam,Comedy,"On 1st April 1996, the Kerala government had taken an initiative to prohibit arrack shops, which had led many alcoholics in awful situations. What follows, is how they prevailed over this change.",Maju,"['Sunny Wayne', 'Lal', 'Chemban Vinod Jose', 'Lukman Avaran']"
Ente Ummante Peru,Drama,The life and journey of Hameed to find his biological mother and how his life changes when Aisha comes into his life.,Jose Sebastian,"['Tovino Thomas', 'Urvashi', 'Saara Deva', 'Hareesh Kanaran']"
School Diary,"Action, Thriller","A group of friends including five girls and four boys studying in 12th standard share a close bond with each other. All goes well for the group until suddenly a crisis arises, which puts their friendship to test.",M. Hajamoinu,"['Bhama Arun', 'Mamitha Baiju', 'Reena Bashir', 'Hashim Hissain']"
Aabhaasam,Comedy,The story of Aabhaasam is about an overnight bus journey from Bangalore to Kerala where the travelers analyze the schizophrenic society and how it has evolved through different times.,Jubith Namradath,"['Indrans', 'Nassar', 'Suraj Venjaramoodu', 'Rima Kallingal']"
Eeda,"Drama, Romance",Anand and Aiswarya who hail from nearby villages in North Malabar. A chance meeting in their native place develops into a passionate affair in Mysore. But their lives suddenly become intertwined in a series of violent events.,Ajithkumar,"['Shane Nigam', 'Nimisha Sajayan', 'Manikandan R. Achari', 'Alencier Ley Lopez']"
Daivame Kaithozham K. Kumarakanam,Comedy,"The movie is a comic take on gender role reversal between K Kumar and his wife to experience life of one another, with God's permission.",Salim Kumar,"['Jayaram', 'Anusree', 'Nedumudi Venu']"
Ente Mezhuthiri Athazhangal,"Drama, Romance","Sanjay Paul, a chef settled in Paris who has traveled around the world wants to add Indian cuisine in his new restaurant. In his quest to get the secret recipes from his friends, he falls in love with Anjali, a custom-candle designer.",Sooraj Tom,"['Anoop Menon', 'Miya George', 'Hannah Reji Koshy', 'Baiju']"
Aickarakkonathe Bhishaguaranmaar,Drama,"Sukumaran Vaidyar and his family, who run a charitable ayurvedic resort named Ayur Home. Despite the presence of a multi-specialty hospital in the area, the villagers of Aickarakkonam believe in the efficacy of Ayur Home.",Biju Majeed,"['Viaan Mangalaserry', 'Samarth Ambujakshan', 'Shivaji Guruvayoor', 'Lalu Alex']"
Chalakkudykkaran Changathy,"Biography, Drama","A biographical drama that chronicles the life and the untimely death of actor Kalabhavan Mani, who rose from his humble beginnings to become one of the most versatile artists in Malayalam cinema.",Vinayan,"['Joju George', 'Honey Rose', 'Krishna', 'Raja Sahib']"
Oru Pazhaya Bomb Kadha,Comedy,"Sreekuttan, a physically challenged young man, meets Shruthi after which he finds himself in the most challenging situation he has ever faced. Will he be able to come out of the situation or be overwhelmed by his physical inabilities?",Shafi,"['Bibin George', 'Hareesh Kanaran', 'Prayaga Martin', 'Kalabhavan Shajohn']"
Oru Kuttanadan Blog,Drama,"Sudhi is writing a blog titled Oru Kuttanadan Blog, based on the serene beauty of a village Kuttanad. The blog largely revolves around Hari, who is an idol to the youth.",Sethu,"['Mammootty', 'Nedumudi Venu', 'Lalu Alex', 'Raai Laxmi']"
Ottakkoru Kaamukan,"Romance, Thriller",When a vengeful lover goes out seeking his revenge. It takes the audience through a fascinating ride of romantic sequences and relationships of families.,Ajinlal,"['Jayan Vannery', 'Shine Tom Chacko', 'Joju George', 'Abhirami', 'Arundathi Nair']"
Thanaha,"Comedy, Drama, Thriller",The story of two friends Vishnu and Roy who end up in the Police service after the death of their fathers. What follows is how Vishnu and Roy unravel the mystery behind the case of a missing culprit.,Prakash Kunjhan Moorayil,"['Saranya Anand', 'Sudheesh Anchery', 'Punnapra Appachan', 'Sruthy Bala']"
Cuban Colony,"Action, Comedy, Thriller","Set in the backdrop of Angamaly, Cuban Colony tells the tale of five close friends whose friendship is tested by the challenges they face in their otherwise happy life and how they deal with the challenges in their own style.",Manoj Varghese Parecattil,"['AbleBenni', 'SeeRaj Vikram', 'ShreeRaj', 'Sreekanth Dasan']"
Kalyanam,"Comedy, Romance","Sarath is deeply in love with Shari looks for the perfect opportunity to tell her. The movie revolves around a wedding, where who marries who is answered.",Rajesh Nair,"['Usha Rajesh', 'Shravan Mukesh', 'Varsha Bollamma', 'Sreenivasan', 'Mukesh']"
Who,"Mystery, Sci-Fi","In Mercada, a mysterious valley that is spread across 200 km, strange events occur every year on the Christmas day. A young girl, a dream interpreter, a criminal psychologist and a team of two police officers try to solve the puzzles.",Ajay Devaloka,"['Sajin Saleem', 'Akhil', 'Arjun', 'Ps Bhahuleyan']"
Kaly,Drama,"Six best friends, all wanted to dress up in branded outfits and look stylish in all manner. The hankering for luxury brands led them to steal. The turn of events starts when they broke into a villa and get stuck inside.",Najeem Koya,"['Shebin Benson', 'Joju George', 'Anil Reji', 'Baburaj']"
Olu,"Drama, Fantasy","Vasu, a struggling painter, meets Maya, a mysterious gypsy girl who lives beneath the Kerala backwaters. Maya inspires Vasu to create soulful paintings as the two form a connection which will inevitably change his life.",Shaji N. Karun,"['Shane Nigam', 'Esther Anil', 'Indrans', 'Punnassery Kanchana']"
Pettilambattra,Comedy,A story of four friends who leave their jobs as painting laborers and venture into the world of fisheries with the help of an old Lambretta scooter.,Syam Lenin,"['Rony Raj', 'Levin Simon Joseph', 'Indrans', 'Jenson Alappat']"
Kidu,"Action, Drama, Romance","Kidu is the story of a class teacher, who becomes a great influence in the life of five naughty students when a dramatic incident turns their lives upside down. Will they be able to sustain the tough times?",Majeed Abu,"['Ramzan Muhammed', 'Karthik Vishnu', 'Minon', 'Abdulla Ayman']"
Rosapoo,Comedy,"After suffering a loss in his brick-and-mortar duty-free shop, Shajahan finds it difficult to sustain his business. To make ends meet, he decides to take up odd jobs but to no avail.",Vinu Joseph,"['Sunny Leone', 'Soubin Shahir', 'Basil Joseph', 'Neeraj Madhav']"
Aanakkallan,"Comedy, Mystery",A Police Officer seeks a conman's help to solve a murder conspiracy.,Suresh Divakar,"['Biju Menon', 'Siddique', 'Anusree', 'Sarayu Mohan']"
Orayiram Kinakkalal,"Comedy, Thriller","Sreeram, an ex NRI, with few other people, gets involved in an easy money-making plan. In this unusual ride, each one ends up showing different shades of their personality, revealing how far they are willing to go to fulfill their dreams.",Pramod Mohan,"['Biju Menon', 'Roshan Mathew', 'Sharu Varghese', 'Kalabhavan Shajohn']"
Aalorukkam,Drama,"Pappu Pisharadi, an aging man, is on a constant hunt for his son, who left him 16 years back, which is when he is brought to a hospital where he meets Dr. Seetha and Priyan, who promise to help him find his son.",V.C. Abhilash,"['Indrans', 'Sreekanth Menon', 'Johnny Jr1', 'Vishnu Agasthya']"
Premasoothram,Romance,"A tale of two men falling for the same girl Ammukuty, who is completely oblivious of their love. While Prakashan and Suku fight amongst themselves for her love, a third man vying for it enters her life.",Jiju Asokan,"['Chemban Vinod Jose', 'Balu Varghese', 'Lijo Mol Jose', 'Vishnu Govindhan']"
Mazhayathu,"Drama, Family",A bizarre incident shakes the family of 3 and the father finds himself becomes the victim of people's anger.,K.P. Suveeran,"['Sini Abraham', 'Resmi Boban', 'Aparna Gopinath', 'Shivaji Guruvayoor']"
Avarkkoppam,Family,"Three families in the tri-state area (Connecticut, New York, New Jersey) go through trials and tribulations in search of the promised American Dream.",Ganesh Nair,"['Tina Nair', 'Nishad Paitutharayil', 'Susy Mathew', 'Aravind']"
Ankarajyathe Jimmanmar,Comedy,A group of people happened to be meddled in a group of events because of a bag coming into their life,Praveen Narayanan,"['Rony David', 'Roopesh Peethambaran', 'Anu Mohan', 'Rajeev Pillai']"
Kadha Paranja Kadha,Drama,"Ebi, an architect from Dubai, comes to India in search of Jennifer, a blogger, and a storyteller. Whilst in India, Ebi joins Jennifer in her pursuit to help Arun, a violinist, who is going through a crisis.",Siju Jawahar,"['Pala Aravindan', 'Rajesh Raju George', 'Dev Prayag Hari', 'Tarushi Jha']"
Moonman,"Fantasy, Horror, Romance","Moon Man is a 3d feature film in English about Vlad Dracula's rebirth and revenge between his Enemies from his past life.Its fantasy,horror film with little history about Vlad Tepes [...See full summary»",Wins Deus,"['Christopher Kahler', 'Andrew Roth', 'Tirlok Malik', ""Shari O'Donnell""]"
Dakini,"Comedy, Thriller","Kuttan Pilla, Moly's long lost lover is kidnapped by the underworld king named Mayan. 4 grannies and Kuttappi with the help of Vikraman, a local gangster decide to go on a journey to fight the fierce don Mayan and bring back Kuttan Pilla.",Rahul Riji Nair,"['Pauly Valsan', 'Sarasa Balussery', 'Savithri Sreedharan', 'Sethu Lakshmi']"
Savaari,Drama,"A man, Savari, does odd jobs in the town of Thrissur until, an incident happens that changes his life forever.",Asok Nair,"['Dileep', 'Shivaji Guruvayoor', 'Chemban Vinod Jose', 'Praveena']"
Autorsha,Comedy,It deals with the problems and difficulties faced by auto drivers in Kannur when an incident took place,Sujith Vasudev,"['Anusree', 'Sankar Induchoodan', 'Aparna Janardanan', 'Sivadas Kannur']"
Sreehalli,Comedy,"Movie is about a village from a bygone era and the naive people who live in it. But with technology finding its way into the village, the villagers find out how things change and not necessarily for the better.",Sachin Raj,"['Sachin', 'Santhosh Keezhattoor', 'Unni Lalu']"
